"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"94","120.00177910289645","122.75354695859436","4.87263172627727","-0.30131215800183925","0.024658203125","0.0234375","0.02587890625","1500","0.000526546734524349","0","0.000526546734524349","0.000526546734524349","94_95:0.0077073768986483104;94_90:0.00784476403719414","94_95:660;94_90:660","true"
"95","241.45442822087816","159.8893229271398","4.768929600466354","-0.30983777296413206","0.011474609375","0.01318359375","0.009765625","1500","0.0001538483747668036","0","0.0001538483747668036","0.0001538483747668036","","","true"
"96","280.4394561469828","166.21191386833047","4.90917933422192","-0.3808425613799568","0.02197265625","0.01318359375","0.03076171875","1500","0.00021126719983422632","0","0.00021126719983422632","0.00021126719983422632","96_95:0.005283552609778919;96_97:1;96_109:0.009725118514385844","96_95:660;96_97:660;96_109:660","true"
"97","155.7906081881533","0.45529176376125685","4.604340455093575","-0.29001332757886134","0.501220703125","0.427734375","0.57470703125","1500","0.004047134810628928","0","0.004047134810628928","0.004047134810628928","97_98:1","97_98:660","true"
"98","234.86965447672384","193.1239095079431","4.873982038734499","-0.30884565871617875","0.01220703125","0.01318359375","0.01123046875","1500","0.00020729367889867683","0","0.00020729367889867683","0.00020729367889867683","","","true"
"99","169.33185726832738","190.70422033405202","4.833449281892255","-0.30841544163879403","0.031982421875","0.03369140625","0.0302734375","1500","0.00040082364739053936","0","0.00040082364739053936","0.00040082364739053936","99_100:0.01302667829063614;99_98:0.008429373277269336","99_100:660;99_98:660","true"
"100","283.31942177270093","213.158150001948","4.617302262879307","-0.31301996211206395","0.022705078125","0.02734375","0.01806640625","1500","0.00012228328073199404","0","0.00012228328073199404","0.00012228328073199404","","","true"
"101","194.21583051865716","235.891108000604","4.83724603164887","-0.30909185797628885","0.009033203125","0.01025390625","0.0078125","1500","0.0004182468724040677","0","0.0004182468724040677","0.0004182468724040677","101_100:0.015598682639656802;101_102:0.02769573881175791","101_100:660;101_102:660","true"
"102","113.5371118386893","24.433660918124794","4.927902742973816","-0.3109169816834961","0.008056640625","0.00830078125","0.0078125","1500","0.00047408983871066377","0","0.00047408983871066377","0.00047408983871066377","","","true"
"103","172.9993452880852","84.5164036232651","4.8379399286414895","-0.30837309010514524","0.016845703125","0.017578125","0.01611328125","1500","0.0005441287321300161","0","0.0005441287321300161","0.0005441287321300161","103_102:0.020901875398273817","103_102:660","true"
"104","183.72577684637693","256.5281822694399","4.942434722731282","-0.3078472368684161","0.0205078125","0.01904296875","0.02197265625","1500","0.0008125776061299865","0","0.0008125776061299865","0.0008125776061299865","104_111:0.03938189865657227;104_103:0.04057936772757925","104_111:660;104_103:660","true"
"105","248.30693087105163","243.29621401302256","4.790702559096471","-0.30895177408747826","0.012451171875","0.01318359375","0.01171875","1500","0.00015116047147917746","0","0.00015116047147917746","0.00015116047147917746","105_104:0.015326996168079754","105_104:660","true"
"106","292.5577637923703","247.7974938059331","4.957784963306048","-0.3075181097901725","0.0068359375","0.00830078125","0.00537109375","1500","0.00018333287638183537","0","0.00018333287638183537","0.00018333287638183537","106_105:0.0058421005905845425","106_105:660","true"
"107","124.32437162385851","226.73541573094204","5.005260874934344","-0.3056479660049947","0.05078125","0.06005859375","0.04150390625","1500","0.0002564728526913196","0","0.0002564728526913196","0.0002564728526913196","107_106:0.0062789075325260235;107_108:0.005340478378853375","107_106:660;107_108:660","true"
"108","326.5773066352324","355.2399849231762","4.793576091662264","-0.3088561745150068","0.009521484375","0.01611328125","0.0029296875","1500","0.00014405037129048144","0","0.00014405037129048144","0.00014405037129048144","108_112:0.005807506661389628","108_112:660","true"
